DELHI,,,,,,,,,,,,,,,
Major,,,,,,,,,,,,,,,
AGE GROUPS,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,0,,,1,,4,1,1,0,0,0,8
3,THE IMMUNE MECHANISM (D50-D89),T,,0,,,1,,7,3,2,0,1,0,18
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,0,,,2,,10,10,14,4,11,0,52
4,DISEASES (E00-E89),F,,0,,,1,,1,3,2,4,8,0,19
4,,T,,0,,,3,,11,13,16,8,19,0,71
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,,,0,,1,1,0,0,1,0,3
5,(F01-F99),F,,0,,,0,,0,0,0,0,0,0,0
5,,T,,0,,,0,,1,1,0,0,1,0,3
6,DISEASES OF THE NERVOUS SYSTEM,M,,1,,,1,,1,1,0,1,0,0,13
6,(G00-G98),F,,1,,,0,,1,0,0,0,6,0,9
6,,T,,2,,,1,,2,1,0,1,6,0,22
7,DISEASES OF THE EYE AND ADNEXA,M,,0,,,0,,0,0,0,0,0,0,0
7,(H00-H59),F,,0,,,0,,0,0,0,0,0,0,1
7,,T,,0,,,0,,0,0,0,0,0,0,1
8,DISEASES OF THE EAR AND MASTOID,M,,0,,,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,,0,,,0,,0,0,0,0,0,0,0
8,,T,,0,,,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,,0,,,41,,79,122,169,70,131,0,619
9,SYSTEM (I00-I99),F,,0,,,16,,18,29,48,48,127,0,294
9,,T,,0,,,57,,97,151,217,118,258,0,913
10,DISEASES OF THE RESPIRATORY,M,,4,,,16,,18,24,18,15,33,0,141
10,SYSTEM (J00-J98),F,,2,,,7,,4,4,19,19,19,0,83
10,,T,,6,,,23,,22,28,37,34,52,0,224
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,0,,,14,,22,28,16,4,3,0,92
11,(K00-K92),F,,0,,,2,,2,1,3,0,2,0,11
11,,T,,0,,,16,,24,29,19,4,5,0,103
12,DISEASES OF THE SKIN AND,M,,0,,,0,,1,2,0,0,0,0,3
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,,,0,,0,0,0,0,0,0,0
12,,T,,0,,,0,,1,2,0,0,0,0,3
13,DISEASES OF THE MUSCULOSKELETAL,M,,0,,,0,,0,0,0,0,1,0,2
13,SYSTEM AND CONNECTIVE TISSUE,F,,0,,,0,,0,0,0,1,0,0,2
13,(M00-M99),T,,0,,,0,,0,0,0,1,1,0,4
14,DISEASES OF THE GENITOURINARY,M,,1,,,9,,8,14,21,14,24,0,93
14,SYSTEM (N00-N99),F,,0,,,3,,5,5,9,1,23,0,48
14,,T,,1,,,12,,13,19,30,15,47,0,141
